CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEPLIM,PL_TRANDEP_AUTHORS,PL_TRANDEP_URL,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATRORLIM,PL_RATROR_AUTHORS,PL_RATROR_URL,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJLIM,PL_RADJ_AUTHORS,PL_RADJ_URL,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,PL_TRANMIDLIM,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS,ST_RAD_URL
0.35400,null,2.13744,0.35264,-0.32573,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14620,0.01160,-0.01160,0,Ricci-et-al.-2015,https://ui.adsabs.harvard.edu/abs/2015PASP..127..143R/abstract,1.2733,0.1062,-0.1062,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.63400,null,2.02778,0.06603,-0.06497,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14240,0.00230,-0.00230,0,Ricci-et-al.-2015,https://ui.adsabs.harvard.edu/abs/2015PASP..127..143R/abstract,1.2402,0.0376,-0.0376,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.80400,null,2.02778,0.06603,-0.06497,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14240,0.00230,-0.00230,0,Ricci-et-al.-2015,https://ui.adsabs.harvard.edu/abs/2015PASP..127..143R/abstract,1.2402,0.0376,-0.0376,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
3.56000,0.38000,2.08456,0.01765,-0.01758,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14438,0.00061,-0.00061,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2575,0.0327,-0.0327,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
4.50000,0.56000,2.14886,0.02146,-0.02135,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14659,0.00073,-0.00073,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2767,0.0334,-0.0334,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.33000,0.04000,2.20849,0.03461,-0.03434,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14861,0.00116,-0.00116,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2943,0.0348,-0.0348,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.38250,0.01250,2.15356,0.03211,-0.03187,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14675,0.00109,-0.00109,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2781,0.0342,-0.0342,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.40320,0.00810,2.12926,0.02547,-0.02531,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14592,0.00087,-0.00087,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2709,0.0335,-0.0335,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.41820,0.00690,2.19514,0.03152,-0.03130,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14816,0.00106,-0.00106,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2904,0.0344,-0.0344,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
0.43250,0.00750,2.14242,0.02967,-0.02946,0,Calculated,/docs/atmospheres/atmospheres_calc.html,0.14637,0.00101,-0.00101,0,Sing-et-al.-2016,https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract,1.2748,0.0339,-0.0339,0,Calculated,/docs/atmospheres/atmospheres_calc.html,null,null,null,0,0.8950,0.0230,-0.0230,Faedi-et-al.-2011,https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract
