Species    Freq.     Unc.     J'(K-',K+') - J''(K-'',K+'')   F'  F1' -  F''  F1''  Vib.     Ref.                                                              

H_216O    22235.044  (1E-3)        6(1,6) -        5( 2,3)    7      -    6        (0,0,0)  [69033]
          22235.077  (1E-3)        6(1,6) -        5( 2,3)    6      -    5        (0,0,0)                                                                    
          22235.080  (*1E-4)       6(1,6) -        5( 2,3)                         (0,0,0)                                                                    
          22235.120  (1E-3)        6(1,6) -        5( 2,3)    5      -    4        (0,0,0)                                                                    
          22235.253  (1E-3)        6(1,6) -        5( 2,3)    6      -    6        (0,0,0)                                                                    
          22235.298  (1E-3)        6(1,6) -        5( 2,3)    5      -    5        (0,0,0)                                                                    
          67803.62   (0.10)        3(2,1) -        4( 1,4)                         (0,1,0)  [71036]
         183310.091  (2E-3)        3(1,3) -        2( 2,0)                         (0,0,0)  [71032]
         321225.644  (0.24)       10(2,9) -        9( 3,6)                         (0,0,0)  [72049]
         325152.919  (0.03)        5(1,5) -        4( 2,2)                         (0,0,0)                                                                    
         380197.372  (0.03)        4(1,4) -        3( 2,1)                         (0,0,0)                                                                    
         437346.667  (0.20)        7(5,3) -        6( 6,0)                         (0,0,0)                                                                    
         439150.812  (0.05)        6(4,3) -        5( 5,0)                         (0,0,0)                                                                    
         443018.295  (0.21)        7(5,2) -        6( 6,1)                         (0,0,0)                                                                    
         448001.075  (0.02)        4(2,3) -        3( 3,0)                         (0,0,0)                                                                    
         470888.947  (0.19)        6(4,2) -        5( 5,1)                         (0,0,0)                                                                    
         474689.127  (0.07)        5(3,3) -        4( 4,0)                         (0,0,0)                                                                    
         488491.133  (0.38)        6(2,4) -        7( 1,7)                         (0,0,0)                                                                    
         556936.002  (0.09)        1(1,0) -        1( 0,1)                         (0,0,0)                                                                    
         620700.807  (0.39)        5(3,2) -        4( 4,1)                         (0,0,0)                                                                    
         752033.227  (0.49)        2(1,1) -        2( 0,2)                         (0,0,0)                                                                    
H_217O    13533.79   (0.10)        6(1,6) -        5( 2,3)      13/2 -       11/2  (0,0,0)  [71036]
          13534.41   (0.10)        6(1,6) -        5( 2,3)      15/2 -       13/2  (0,0,0)                                                                    
          13534.41   (0.10)        6(1,6) -        5( 2,3)      11/2 -        9/2  (0,0,0)                                                                    
          13536.02   (0.10)        6(1,6) -        5( 2,3)       9/2 -        7/2  (0,0,0)                                                                    
          13537.06   (0.10)        6(1,6) -        5( 2,3)      17/2 -       15/2  (0,0,0)                                                                    
          13537.97   (0.10)        6(1,6) -        5( 2,3)       7/2 -        5/2  (0,0,0)                                                                    
         193999.796  (0.01)        3(1,3) -        2( 2,0)       9/2 -        7/2  (0,0,0)  [75009]
         193999.796  (0.01)        3(1,3) -        2( 2,0)       7/2 -        7/2  (0,0,0)                                                                    
